datetime,open,high,low,close,volume
2020-11-02,0.1,0.29,0.1,0.19846,145958017.7
2020-11-09,0.19716,0.686,0.19716,0.59068,160503962.6
2020-11-16,0.59068,0.675,0.4,0.42719,104641826.2
2020-11-23,0.42933,0.54697,0.31562,0.47698,67701920.1
2020-11-30,0.477,0.53646,0.4,0.47941,51549969.8
2020-12-07,0.48108,0.68298,0.46771,0.6139,80499774.4
2020-12-14,0.61377,0.8564,0.57862,0.68945,67259655.5
2020-12-21,0.68669,0.71688,0.45876,0.59955,39587624.2
2020-12-28,0.59957,0.665,0.5,0.56523,31088715.7
2021-01-04,0.56816,0.74,0.5101,0.57292,45286969.9
2021-01-11,0.57171,0.64699,0.4099,0.61396,32750967.2
2021-01-18,0.61372,0.82222,0.535,0.7351,55180580.8
2021-01-25,0.7351,1.189,0.72001,0.80531,59580165.0
2021-02-01,0.80327,1.159,0.77,1.00107,40232493.6
2021-02-08,1.00413,2.33735,0.96812,2.15325,53378452.8
2021-02-15,2.16022,2.37,1.64613,1.83545,29998401.6
2021-02-22,1.83558,1.89335,1.08337,1.39999,35094182.3
2021-03-01,1.39555,3.1,1.3902,2.68507,50283945.9
2021-03-08,2.68656,6.36,2.68512,5.83924,63279841.6
2021-03-15,5.82818,6.5,4.33542,4.60434,29798711.9
2021-03-22,4.60371,5.2,3.3567,4.90518,27181550.4
2021-03-29,4.90518,7.82703,4.6536,5.88344,44428602.0
2021-04-05,5.88344,11.3,5.63238,7.21778,62683097.4
2021-04-12,7.22905,8.89417,5.68,6.66909,23157191.7
2021-04-19,6.64922,11.29,6.03166,6.574,64106954.08
2021-04-26,6.5861,11.0,6.4021,9.3185,22408225.27
2021-05-03,9.3255,9.6916,7.4157,8.0754,16942946.11
2021-05-10,8.0839,9.199,6.0654,6.5009,16163209.3
2021-05-17,6.5012,7.1436,1.808,3.3449,21006630.24
2021-05-24,3.3454,6.0483,3.3454,4.5338,31996699.03
2021-05-31,4.5283,5.2991,4.0722,4.3694,16482748.53
2021-06-07,4.3759,5.1379,3.412,3.9863,22119648.66
2021-06-14,3.9872,5.0,3.8106,4.204,15612983.07
2021-06-21,4.2057,4.2227,2.8577,3.7236,14212673.48
2021-06-28,3.7258,9.8599,3.6611,8.7658,41402022.36
2021-07-05,8.7661,19.6,7.735,18.9409,159665890.97
2021-07-12,18.953,29.2,16.85,18.627,148547627.49
2021-07-19,18.6271,49.7807,14.1355,43.9341,185792299.4
2021-07-26,43.9084,53.5,35.0,37.7381,110598141.88
2021-08-02,37.7137,47.49,37.55,42.2301,48148766.09
2021-08-09,42.2159,77.4894,40.6596,67.892,64872182.32
